> [{cost: 132, cost_one: 3, cost_two: 1}]
> [{cost: 37, cost_one: 1, cost_two: 4}]
> [{cost: 37, cost_one: 3, cost_two: 4}]
> [{cost: 37, cost_one: 2, cost_two: 2}]
> [{cost: 37, cost_one: 3, cost_two: 3}]
> [{cost: 37, cost_one: 2, cost_two: 6}]
> [{cost: 37, cost_one: 3, cost_two: 5}]
> [{cost: 37, cost_one: 1, cost_two: 1}]
> [{cost: 37, cost_one: 2, cost_two: 3}]
> [{cost: 37, cost_one: 2, cost_two: 3}]
> [{cost: 37, cost_one: 2, cost_two: 3}]
> [{cost: 37, cost_one: 3, cost_two: 4}]
> [{cost: 37, cost_one: 2, cost_two: 5}]
> [{cost: 36, cost_one: 3, cost_two: 2}]
> [{cost: 36, cost_one: 2, cost_two: 4}]
> [{cost: 36, cost_one: 2, cost_two: 3}]
> [{cost: 36, cost_one: 1, cost_two: 3}]
> [{cost: 36, cost_one: 3, cost_two: 3}]
> [{cost: 35, cost_one: 4, cost_two: 3}]
> [{cost: 35, cost_one: 1, cost_two: 4}]
> [{cost: 35, cost_one: 1, cost_two: 3}]
> [{cost: 35, cost_one: 2, cost_two: 5}]
> [{cost: 35, cost_one: 2, cost_two: 2}]
> [{cost: 35, cost_one: 2, cost_two: 2}]
> [{cost: 35, cost_one: 2, cost_two: 4}]
> [{cost: 35, cost_one: 2, cost_two: 5}]
> [{cost: 35, cost_one: 3, cost_two: 4}]
> [{cost: 35, cost_one: 1, cost_two: 3}]
> [{cost: 35, cost_one: 1, cost_two: 3}]
> [{cost: 35, cost_one: 4, cost_two: 4}]
> [{cost: 35, cost_one: 2, cost_two: 4}]
> [{cost: 34, cost_one: 3, cost_two: 2}]
> [{cost: 34, cost_one: 1, cost_two: 2}]
> [{cost: 34, cost_one: 2, cost_two: 4}]
> [{cost: 34, cost_one: 1, cost_two: 3}]
> [{cost: 34, cost_one: 2, cost_two: 4}]
> [{cost: 34, cost_one: 3, cost_two: 3}]
> [{cost: 34, cost_one: 2, cost_two: 5}]
> [{cost: 34, cost_one: 2, cost_two: 2}]
> [{cost: 34, cost_one: 2, cost_two: 2}]
> [{cost: 34, cost_one: 2, cost_two: 5}]
> [{cost: 34, cost_one: 2, cost_two: 3}]
> [{cost: 34, cost_one: 2, cost_two: 2}]
> [{cost: 33, cost_one: 3, cost_two: 2}]
> [{cost: 33, cost_one: 2, cost_two: 5}]
> [{cost: 33, cost_one: 2, cost_two: 5}]
> [{cost: 33, cost_one: 1, cost_two: 5}]
> [{cost: 33, cost_one: 2, cost_two: 5}]
> [{cost: 33, cost_one: 1, cost_two: 3}]
> [{cost: 32, cost_one: 4, cost_two: 3}]
> [{cost: 32, cost_one: 2, cost_two: 4}]
> [{cost: 32, cost_one: 2, cost_two: 5}]
> [{cost: 32, cost_one: 3, cost_two: 5}]
> [{cost: 32, cost_one: 3, cost_two: 4}]
> [{cost: 32, cost_one: 1, cost_two: 3}]
> [{cost: 30, cost_one: 4, cost_two: 2}]
> [{cost: 30, cost_one: 2, cost_two: 5}]
> [{cost: 30, cost_one: 2, cost_two: 6}]
> [{cost: 30, cost_one: 2, cost_two: 3}]
> [{cost: 30, cost_one: 1, cost_two: 3}]
> [{cost: 30, cost_one: 3, cost_two: 4}]
> [{cost: 30, cost_one: 2, cost_two: 6}]
> [{cost: 30, cost_one: 2, cost_two: 3}]
> [{cost: 30, cost_one: 2, cost_two: 3}]
> [{cost: 30, cost_one: 3, cost_two: 5}]
> [{cost: 30, cost_one: 2, cost_two: 3}]
> [{cost: 30, cost_one: 2, cost_two: 4}]
> [{cost: 30, cost_one: 2, cost_two: 3}]
> [{cost: 30, cost_one: 1, cost_two: 4}]
> [{cost: 30, cost_one: 3, cost_two: 4}]
> [{cost: 30, cost_one: 3, cost_two: 3}]
> [{cost: 30, cost_one: 2, cost_two: 2}]
> [{cost: 30, cost_one: 2, cost_two: 4}]
> [{cost: 30, cost_one: 2, cost_two: 2}]
> [{cost: 30, cost_one: 2, cost_two: 5}]
> [{cost: 30, cost_one: 2, cost_two: 5}]
> [{cost: 30, cost_one: 2, cost_two: 3}]
> [{cost: 30, cost_one: 3, cost_two: 4}]
> [{cost: 30, cost_one: 1, cost_two: 2}]
> [{cost: 30, cost_one: 3, cost_two: 4}]
> [{cost: 30, cost_one: 3, cost_two: 5}]
> [{cost: 30, cost_one: 2, cost_two: 4}]
> [{cost: 30, cost_one: 3, cost_two: 4}]
> [{cost: 30, cost_one: 2, cost_two: 3}]
> [{cost: 29, cost_one: 4, cost_two: 3}]
> [{cost: 29, cost_one: 2, cost_two: 4}]
> [{cost: 29, cost_one: 2, cost_two: 3}]
> [{cost: 29, cost_one: 3, cost_two: 3}]
> [{cost: 29, cost_one: 3, cost_two: 6}]
> [{cost: 29, cost_one: 2, cost_two: 4}]
> [{cost: 29, cost_one: 3, cost_two: 3}]
> [{cost: 29, cost_one: 2, cost_two: 4}]
> [{cost: 29, cost_one: 3, cost_two: 4}]
> [{cost: 29, cost_one: 1, cost_two: 3}]
> [{cost: 29, cost_one: 2, cost_two: 3}]
> [{cost: 29, cost_one: 2, cost_two: 3}]
> [{cost: 29, cost_one: 2, cost_two: 3}]
> [{cost: 28, cost_one: 3, cost_two: 2}]
> [{cost: 28, cost_one: 3, cost_two: 3}]
> [{cost: 27, cost_one: 3, cost_two: 2}]
> [{cost: 26, cost_one: 3, cost_two: 2}]
> [{cost: 26, cost_one: 2, cost_two: 5}]
> [{cost: 26, cost_one: 3, cost_two: 3}]
> [{cost: 26, cost_one: 3, cost_two: 3}]
> [{cost: 26, cost_one: 2, cost_two: 4}]
> [{cost: 26, cost_one: 2, cost_two: 4}]
> [{cost: 25, cost_one: 4, cost_two: 3}]
> [{cost: 24, cost_one: 2, cost_two: 1}]
> [{cost: 24, cost_one: 2, cost_two: 5}]
> [{cost: 24, cost_one: 3, cost_two: 3}]
> [{cost: 24, cost_one: 2, cost_two: 4}]
> [{cost: 24, cost_one: 2, cost_two: 3}]
> [{cost: 24, cost_one: 2, cost_two: 3}]
> [{cost: 24, cost_one: 2, cost_two: 4}]
> [{cost: 24, cost_one: 3, cost_two: 3}]
> [{cost: 24, cost_one: 2, cost_two: 4}]
> [{cost: 24, cost_one: 2, cost_two: 5}]
> [{cost: 24, cost_one: 2, cost_two: 3}]
> [{cost: 24, cost_one: 2, cost_two: 3}]
> [{cost: 24, cost_one: 3, cost_two: 5}]
> [{cost: 23, cost_one: 3, cost_two: 2}]
> [{cost: 23, cost_one: 2, cost_two: 7}]
> [{cost: 23, cost_one: 2, cost_two: 2}]
> [{cost: 23, cost_one: 2, cost_two: 6}]
> [{cost: 23, cost_one: 2, cost_two: 4}]
> [{cost: 23, cost_one: 2, cost_two: 4}]
> [{cost: 23, cost_one: 2, cost_two: 4}]
> [{cost: 23, cost_one: 3, cost_two: 6}]
> [{cost: 23, cost_one: 2, cost_two: 3}]
> [{cost: 23, cost_one: 2, cost_two: 4}]
> [{cost: 23, cost_one: 3, cost_two: 4}]
> [{cost: 23, cost_one: 2, cost_two: 3}]
> [{cost: 22, cost_one: 2, cost_two: 1}]
> [{cost: 22, cost_one: 2, cost_two: 3}]
> [{cost: 22, cost_one: 3, cost_two: 5}]
> [{cost: 22, cost_one: 3, cost_two: 3}]
> [{cost: 22, cost_one: 1, cost_two: 3}]
> [{cost: 22, cost_one: 2, cost_two: 3}]
> [{cost: 22, cost_one: 3, cost_two: 3}]
> [{cost: 22, cost_one: 2, cost_two: 3}]
> [{cost: 22, cost_one: 2, cost_two: 3}]
> [{cost: 22, cost_one: 2, cost_two: 3}]
> [{cost: 22, cost_one: 3, cost_two: 3}]
> [{cost: 22, cost_one: 3, cost_two: 4}]
> [{cost: 22, cost_one: 2, cost_two: 3}]
> [{cost: 22, cost_one: 2, cost_two: 5}]
> [{cost: 22, cost_one: 3, cost_two: 4}]
> [{cost: 22, cost_one: 2, cost_two: 4}]
> [{cost: 22, cost_one: 1, cost_two: 3}]
> [{cost: 22, cost_one: 3, cost_two: 3}]
> [{cost: 22, cost_one: 2, cost_two: 4}]
> [{cost: 22, cost_one: 2, cost_two: 2}]
> [{cost: 22, cost_one: 2, cost_two: 4}]
> [{cost: 22, cost_one: 1, cost_two: 4}]
> [{cost: 22, cost_one: 2, cost_two: 7}]
> [{cost: 22, cost_one: 2, cost_two: 3}]
> [{cost: 22, cost_one: 1, cost_two: 3}]
> [{cost: 21, cost_one: 3, cost_two: 2}]
> [{cost: 21, cost_one: 2, cost_two: 3}]
> [{cost: 21, cost_one: 1, cost_two: 4}]
> [{cost: 21, cost_one: 2, cost_two: 4}]
> [{cost: 21, cost_one: 2, cost_two: 3}]
> [{cost: 21, cost_one: 2, cost_two: 3}]
> [{cost: 21, cost_one: 2, cost_two: 3}]
> [{cost: 21, cost_one: 2, cost_two: 3}]
> [{cost: 20, cost_one: 3, cost_two: 2}]
> [{cost: 20, cost_one: 2, cost_two: 3}]
> [{cost: 20, cost_one: 2, cost_two: 4}]
> [{cost: 20, cost_one: 2, cost_two: 5}]
> [{cost: 20, cost_one: 3, cost_two: 6}]
> [{cost: 20, cost_one: 2, cost_two: 3}]
> [{cost: 20, cost_one: 2, cost_two: 3}]
> [{cost: 20, cost_one: 2, cost_two: 3}]
> [{cost: 19, cost_one: 2, cost_two: 1}]
> [{cost: 19, cost_one: 3, cost_two: 4}]
> [{cost: 19, cost_one: 2, cost_two: 5}]
> [{cost: 19, cost_one: 1, cost_two: 4}]
> [{cost: 19, cost_one: 3, cost_two: 4}]
> [{cost: 19, cost_one: 2, cost_two: 4}]
> [{cost: 19, cost_one: 1, cost_two: 3}]
> [{cost: 19, cost_one: 2, cost_two: 3}]
> [{cost: 19, cost_one: 1, cost_two: 5}]
> [{cost: 19, cost_one: 3, cost_two: 3}]
> [{cost: 19, cost_one: 2, cost_two: 5}]
> [{cost: 19, cost_one: 2, cost_two: 2}]
> [{cost: 19, cost_one: 1, cost_two: 1}]
> [{cost: 19, cost_one: 2, cost_two: 4}]
> [{cost: 19, cost_one: 3, cost_two: 3}]
> [{cost: 18, cost_one: 3, cost_two: 2}]
> [{cost: 18, cost_one: 1, cost_two: 3}]
> [{cost: 18, cost_one: 1, cost_two: 1}]
> [{cost: 18, cost_one: 2, cost_two: 3}]
> [{cost: 18, cost_one: 1, cost_two: 4}]
> [{cost: 18, cost_one: 2, cost_two: 4}]
> [{cost: 18, cost_one: 2, cost_two: 4}]
> [{cost: 18, cost_one: 2, cost_two: 4}]
> [{cost: 18, cost_one: 4, cost_two: 5}]
> [{cost: 18, cost_one: 2, cost_two: 2}]
> [{cost: 18, cost_one: 2, cost_two: 4}]
> [{cost: 18, cost_one: 2, cost_two: 4}]
> [{cost: 18, cost_one: 2, cost_two: 6}]
> [{cost: 18, cost_one: 2, cost_two: 4}]
> [{cost: 18, cost_one: 1, cost_two: 1}]
> [{cost: 18, cost_one: 2, cost_two: 5}]
> [{cost: 18, cost_one: 2, cost_two: 3}]
> [{cost: 18, cost_one: 2, cost_two: 5}]
> [{cost: 18, cost_one: 2, cost_two: 4}]
> [{cost: 18, cost_one: 2, cost_two: 7}]
> [{cost: 18, cost_one: 1, cost_two: 3}]
> [{cost: 18, cost_one: 3, cost_two: 3}]
> [{cost: 18, cost_one: 2, cost_two: 4}]
> [{cost: 18, cost_one: 1, cost_two: 3}]
> [{cost: 18, cost_one: 1, cost_two: 3}]
> [{cost: 18, cost_one: 2, cost_two: 4}]
> [{cost: 18, cost_one: 2, cost_two: 5}]
> [{cost: 17, cost_one: 2, cost_two: 1}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 2, cost_two: 5}]
> [{cost: 17, cost_one: 2, cost_two: 5}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 1, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 3}]
> [{cost: 17, cost_one: 2, cost_two: 4}]
> [{cost: 17, cost_one: 1, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 5}]
> [{cost: 17, cost_one: 1, cost_two: 2}]
> [{cost: 17, cost_one: 2, cost_two: 4}]
> [{cost: 17, cost_one: 3, cost_two: 3}]
> [{cost: 17, cost_one: 1, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 2}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 2, cost_two: 5}]
> [{cost: 17, cost_one: 3, cost_two: 5}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 1, cost_two: 3}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 1, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 5}]
> [{cost: 17, cost_one: 3, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 1, cost_two: 3}]
> [{cost: 17, cost_one: 2, cost_two: 4}]
> [{cost: 17, cost_one: 1, cost_two: 2}]
> [{cost: 17, cost_one: 3, cost_two: 3}]
> [{cost: 17, cost_one: 2, cost_two: 5}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 2, cost_two: 4}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 1, cost_two: 2}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 6}]
> [{cost: 17, cost_one: 1, cost_two: 1}]
> [{cost: 17, cost_one: 1, cost_two: 3}]
> [{cost: 17, cost_one: 3, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 6}]
> [{cost: 17, cost_one: 1, cost_two: 2}]
> [{cost: 17, cost_one: 2, cost_two: 3}]
> [{cost: 17, cost_one: 1, cost_two: 3}]
> [{cost: 17, cost_one: 2, cost_two: 6}]
> [{cost: 17, cost_one: 2, cost_two: 2}]
> [{cost: 17, cost_one: 1, cost_two: 1}]
> [{cost: 17, cost_one: 2, cost_two: 4}]
> [{cost: 17, cost_one: 2, cost_two: 4}]
> [{cost: 17, cost_one: 3, cost_two: 5}]
> [{cost: 16, cost_one: 3, cost_two: 2}]
> [{cost: 16, cost_one: 2, cost_two: 4}]
> [{cost: 16, cost_one: 2, cost_two: 4}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 3, cost_two: 6}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 2}]
> [{cost: 16, cost_one: 1, cost_two: 3}]
> [{cost: 16, cost_one: 1, cost_two: 3}]
> [{cost: 16, cost_one: 3, cost_two: 4}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 4}]
> [{cost: 16, cost_one: 1, cost_two: 2}]
> [{cost: 16, cost_one: 3, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 4}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 3, cost_two: 4}]
> [{cost: 16, cost_one: 3, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 4}]
> [{cost: 16, cost_one: 3, cost_two: 4}]
> [{cost: 16, cost_one: 1, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 2, cost_two: 5}]
> [{cost: 16, cost_one: 2, cost_two: 4}]
> [{cost: 16, cost_one: 2, cost_two: 4}]
> [{cost: 16, cost_one: 2, cost_two: 5}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 3, cost_two: 4}]
> [{cost: 16, cost_one: 2, cost_two: 4}]
> [{cost: 16, cost_one: 2, cost_two: 4}]
> [{cost: 16, cost_one: 2, cost_two: 3}]
> [{cost: 16, cost_one: 3, cost_two: 3}]
> [{cost: 15, cost_one: 3, cost_two: 2}]
> [{cost: 15, cost_one: 2, cost_two: 2}]
> [{cost: 15, cost_one: 3, cost_two: 3}]
> [{cost: 15, cost_one: 2, cost_two: 4}]
> [{cost: 15, cost_one: 2, cost_two: 3}]
> [{cost: 15, cost_one: 1, cost_two: 3}]
> [{cost: 15, cost_one: 2, cost_two: 3}]
> [{cost: 15, cost_one: 2, cost_two: 2}]
> [{cost: 14, cost_one: 4, cost_two: 3}]
> [{cost: 14, cost_one: 1, cost_two: 3}]
> [{cost: 14, cost_one: 1, cost_two: 4}]
> [{cost: 14, cost_one: 3, cost_two: 5}]
> [{cost: 13, cost_one: 4, cost_two: 3}]
> [{cost: 13, cost_one: 1, cost_two: 1}]
> [{cost: 13, cost_one: 3, cost_two: 5}]
> [{cost: 13, cost_one: 1, cost_two: 3}]
> [{cost: 13, cost_one: 2, cost_two: 4}]
> [{cost: 13, cost_one: 3, cost_two: 5}]
> [{cost: 12, cost_one: 3, cost_two: 2}]
> [{cost: 12, cost_one: 3, cost_two: 3}]
> [{cost: 12, cost_one: 2, cost_two: 3}]
> [{cost: 12, cost_one: 2, cost_two: 4}]
> [{cost: 11, cost_one: 3, cost_two: 2}]
> [{cost: 11, cost_one: 3, cost_two: 3}]
> [{cost: 11, cost_one: 2, cost_two: 4}]
> [{cost: 11, cost_one: 2, cost_two: 4}]
> [{cost: 11, cost_one: 3, cost_two: 3}]
> [{cost: 11, cost_one: 2, cost_two: 5}]
> [{cost: 11, cost_one: 3, cost_two: 3}]
> [{cost: 11, cost_one: 2, cost_two: 5}]
> [{cost: 11, cost_one: 2, cost_two: 2}]
> [{cost: 11, cost_one: 2, cost_two: 4}]
> [{cost: 11, cost_one: 2, cost_two: 4}]
> [{cost: 11, cost_one: 2, cost_two: 5}]
> [{cost: 11, cost_one: 2, cost_two: 5}]
> [{cost: 11, cost_one: 2, cost_two: 3}]
> [{cost: 11, cost_one: 2, cost_two: 4}]
> [{cost: 11, cost_one: 2, cost_two: 3}]
> [{cost: 11, cost_one: 2, cost_two: 5}]
> [{cost: 10, cost_one: 3, cost_two: 2}]
> [{cost: 10, cost_one: 2, cost_two: 5}]
> [{cost: 10, cost_one: 1, cost_two: 2}]
> [{cost: 10, cost_one: 2, cost_two: 3}]
> [{cost: 10, cost_one: 2, cost_two: 5}]
> [{cost: 10, cost_one: 3, cost_two: 5}]
> [{cost: 10, cost_one: 2, cost_two: 5}]
> [{cost: 10, cost_one: 3, cost_two: 5}]
> [{cost: 10, cost_one: 3, cost_two: 4}]
> [{cost: 10, cost_one: 1, cost_two: 3}]
> [{cost: 10, cost_one: 3, cost_two: 3}]
> [{cost: 10, cost_one: 2, cost_two: 5}]
> [{cost: 10, cost_one: 1, cost_two: 4}]
> [{cost: 10, cost_one: 2, cost_two: 3}]
> [{cost: 10, cost_one: 3, cost_two: 3}]
> [{cost: 10, cost_one: 2, cost_two: 3}]
> [{cost: 10, cost_one: 2, cost_two: 4}]
> [{cost: 10, cost_one: 3, cost_two: 3}]
> [{cost: 10, cost_one: 2, cost_two: 4}]
> [{cost: 10, cost_one: 3, cost_two: 3}]
> [{cost: 10, cost_one: 1, cost_two: 4}]
> [{cost: 10, cost_one: 2, cost_two: 4}]
> [{cost: 10, cost_one: 2, cost_two: 3}]
> [{cost: 10, cost_one: 1, cost_two: 3}]
> [{cost: 10, cost_one: 2, cost_two: 3}]
> [{cost: 9, cost_one: 4, cost_two: 3}]
> [{cost: 9, cost_one: 3, cost_two: 4}]
> [{cost: 9, cost_one: 1, cost_two: 3}]
> [{cost: 9, cost_one: 2, cost_two: 4}]
> [{cost: 9, cost_one: 2, cost_two: 5}]
> [{cost: 9, cost_one: 2, cost_two: 4}]
> [{cost: 9, cost_one: 2, cost_two: 5}]
> [{cost: 9, cost_one: 2, cost_two: 3}]
> [{cost: 9, cost_one: 2, cost_two: 4}]
> [{cost: 9, cost_one: 3, cost_two: 3}]
> [{cost: 9, cost_one: 3, cost_two: 3}]
> [{cost: 9, cost_one: 2, cost_two: 3}]
> [{cost: 9, cost_one: 2, cost_two: 5}]
> [{cost: 9, cost_one: 2, cost_two: 3}]
> [{cost: 9, cost_one: 1, cost_two: 4}]
> [{cost: 9, cost_one: 3, cost_two: 3}]
> [{cost: 9, cost_one: 3, cost_two: 4}]
> [{cost: 9, cost_one: 2, cost_two: 4}]
> [{cost: 9, cost_one: 3, cost_two: 5}]
> [{cost: 9, cost_one: 2, cost_two: 5}]
> [{cost: 9, cost_one: 2, cost_two: 2}]
> [{cost: 9, cost_one: 2, cost_two: 4}]
> [{cost: 9, cost_one: 2, cost_two: 3}]
> [{cost: 9, cost_one: 2, cost_two: 4}]
> [{cost: 9, cost_one: 2, cost_two: 3}]
> [{cost: 9, cost_one: 2, cost_two: 6}]
> [{cost: 9, cost_one: 1, cost_two: 4}]
> [{cost: 9, cost_one: 1, cost_two: 3}]
> [{cost: 9, cost_one: 2, cost_two: 4}]
> [{cost: 9, cost_one: 2, cost_two: 4}]
> [{cost: 9, cost_one: 2, cost_two: 5}]
> [{cost: 9, cost_one: 1, cost_two: 3}]
> [{cost: 8, cost_one: 3, cost_two: 2}]
> [{cost: 8, cost_one: 2, cost_two: 3}]
> [{cost: 8, cost_one: 3, cost_two: 3}]
> [{cost: 8, cost_one: 2, cost_two: 3}]
> [{cost: 8, cost_one: 1, cost_two: 3}]
> [{cost: 8, cost_one: 2, cost_two: 3}]
> [{cost: 8, cost_one: 3, cost_two: 5}]
> [{cost: 8, cost_one: 1, cost_two: 3}]
> [{cost: 8, cost_one: 2, cost_two: 4}]
> [{cost: 7, cost_one: 3, cost_two: 2}]
> [{cost: 7, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 3, cost_two: 1}]
> [{cost: 5, cost_one: 1, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 3, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 1, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 1, cost_two: 2}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 1, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 2}]
> [{cost: 5, cost_one: 3, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 3, cost_two: 4}]
> [{cost: 5, cost_one: 3, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 2}]
> [{cost: 5, cost_one: 3, cost_two: 5}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 3, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 2}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 1, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 2}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 1, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 4}]
> [{cost: 5, cost_one: 2, cost_two: 3}]
> [{cost: 5, cost_one: 2, cost_two: 5}]
> [{cost: 5, cost_one: 3, cost_two: 4}]
> [{cost: 4, cost_one: 3, cost_two: 2}]
> [{cost: 3, cost_one: 3, cost_two: 2}]
> [{cost: 3, cost_one: 2, cost_two: 5}]
> [{cost: 3, cost_one: 2, cost_two: 4}]
> [{cost: 3, cost_one: 2, cost_two: 2}]
> [{cost: 3, cost_one: 1, cost_two: 3}]
> [{cost: 3, cost_one: 3, cost_two: 3}]
> [{cost: 3, cost_one: 2, cost_two: 3}]
> [{cost: 3, cost_one: 2, cost_two: 4}]
> [{cost: 3, cost_one: 2, cost_two: 3}]
> [{cost: 3, cost_one: 3, cost_two: 3}]
> [{cost: 3, cost_one: 4, cost_two: 4}]
> [{cost: 3, cost_one: 2, cost_two: 3}]
> [{cost: 3, cost_one: 2, cost_two: 6}]
> [{cost: 2, cost_one: 1, cost_two: 0}]
> [{cost: 2, cost_one: 2, cost_two: 4}]
> [{cost: 2, cost_one: 2, cost_two: 3}]
> [{cost: 0, cost_one: 4, cost_two: 2}]
> [{cost: -1, cost_one: 2, cost_two: 1}]
> [{cost: -1, cost_one: 2, cost_two: 2}]
> [{cost: -1, cost_one: 3, cost_two: 3}]
> [{cost: -1, cost_one: 3, cost_two: 4}]
> [{cost: -1, cost_one: 2, cost_two: 4}]
> [{cost: -1, cost_one: 2, cost_two: 4}]
> [{cost: -1, cost_one: 2, cost_two: 3}]
> [{cost: -1, cost_one: 2, cost_two: 3}]
> [{cost: -1, cost_one: 2, cost_two: 5}]
> [{cost: -1, cost_one: 2, cost_two: 3}]
> [{cost: -1, cost_one: 2, cost_two: 3}]
> [{cost: -1, cost_one: 3, cost_two: 4}]
> [{cost: -1, cost_one: 2, cost_two: 4}]
> [{cost: -1, cost_one: 2, cost_two: 4}]
> [{cost: -2, cost_one: 3, cost_two: 2}]
> [{cost: -2, cost_one: 3, cost_two: 3}]
> [{cost: -2, cost_one: 2, cost_two: 3}]
> [{cost: -2, cost_one: 2, cost_two: 5}]
> [{cost: -2, cost_one: 2, cost_two: 5}]
> [{cost: -2, cost_one: 1, cost_two: 3}]
> [{cost: -2, cost_one: 2, cost_two: 3}]
> [{cost: -2, cost_one: 3, cost_two: 3}]
> [{cost: -2, cost_one: 0, cost_two: 2}]
> [{cost: -2, cost_one: 1, cost_two: 3}]
> [{cost: -2, cost_one: 2, cost_two: 3}]
> [{cost: -2, cost_one: 2, cost_two: 5}]
> [{cost: -2, cost_one: 2, cost_two: 4}]
> [{cost: -2, cost_one: 1, cost_two: 2}]
