> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.009999}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.009900}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.009803}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.009707}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.009614}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.009523}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.009433}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.009345}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.009258}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.009173}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.009090}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.009008}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.008927}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.008848}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.008771}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.008695}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.008620}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.008546}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.008473}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.008402}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.008332}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.008263}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.008196}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.008129}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.008063}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.007999}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.007935}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.007873}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.007812}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.007751}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.007691}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.007633}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.007575}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.007518}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.007462}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.007406}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.007352}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.007298}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.007245}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.007193}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.007142}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.007091}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.007041}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.006992}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006944}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.006896}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006848}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.006802}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006756}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006711}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006666}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006622}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.006578}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006535}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.006493}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.006451}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006409}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.006369}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.006328}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006289}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.006249}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006210}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.006172}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.006134}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.006097}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.006060}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.006023}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005987}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.005952}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.005916}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.005882}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.005847}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005813}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.005780}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005746}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005714}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.005681}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005649}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005617}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.005586}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005555}]
> [{cost: 11, cost_one: 1, cost_two: 4, cost_comp: 14, temperature: 0.005524}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.005494}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005464}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005434}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005405}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.005376}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.005347}]
