> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 1, cost_two: 2, cost_comp: 9}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 2, cost_comp: 10}]
> [{cost: 8, cost_one: 1, cost_two: 2, cost_comp: 9}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 4, cost_comp: 12}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 1, cost_comp: 9}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 2, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 2, cost_comp: 9}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [{cost: 8, cost_one: 1, cost_two: 3, cost_comp: 10}]
> [{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}]
> [
First iterations of the second try of the algorithm ->{cost: 8, cost_one: 0, cost_two: 3, cost_comp: 11}
]
> [
First iterations of the second try of the algorithm ->{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13}
]
> [{cost: 100, cost_one: 1, cost_two: 3, cost_comp: 100}]
> [
First iterations of the second try of the algorithm ->{cost: 100, cost_one: 5, cost_two: 0, cost_comp: 95}
]
> [
First iterations of the second try of the algorithm ->{cost: 95, cost_one: 6, cost_two: 0, cost_comp: 89}
]
> [{cost: 77, cost_one: 2, cost_two: 0, cost_comp: 77}]
> [
First iterations of the second try of the algorithm ->{cost: 77, cost_one: 1, cost_two: 2, cost_comp: 78}
]
> [
First iterations of the second try of the algorithm ->{cost: 78, cost_one: 1, cost_two: 7, cost_comp: 84}
]
> [{cost: 44, cost_one: 0, cost_two: 5, cost_comp: 49}]
> [
First iterations of the second try of the algorithm ->{cost: 44, cost_one: 1, cost_two: 3, cost_comp: 46}
]
> [
First iterations of the second try of the algorithm ->{cost: 44, cost_one: 0, cost_two: 4, cost_comp: 48}
]
> [{cost: 34, cost_one: 2, cost_two: 2, cost_comp: 34}]
> [
First iterations of the second try of the algorithm ->{cost: 34, cost_one: 1, cost_two: 3, cost_comp: 36}
]
> [
First iterations of the second try of the algorithm ->{cost: 34, cost_one: 2, cost_two: 2, cost_comp: 34}
]
> [{cost: 27, cost_one: 1, cost_two: 3, cost_comp: 29}]
> [
First iterations of the second try of the algorithm ->{cost: 27, cost_one: 0, cost_two: 2, cost_comp: 29}
]
> [
