> [{cost: 87, cost_one: 3, cost_two: 3}]
> [{cost: 87, cost_one: 3, cost_two: 3}]
> [{cost: 87, cost_one: 3, cost_two: 4}]
> [{cost: 87, cost_one: 3, cost_two: 4}]
> [{cost: 87, cost_one: 2, cost_two: 2}]
> [{cost: 87, cost_one: 3, cost_two: 3}]
> [{cost: 87, cost_one: 3, cost_two: 7}]
> [{cost: 87, cost_one: 4, cost_two: 4}]
> [{cost: 87, cost_one: 1, cost_two: 2}]
> [{cost: 86, cost_one: 4, cost_two: 3}]
> [{cost: 84, cost_one: 4, cost_two: 2}]
> [{cost: 84, cost_one: 2, cost_two: 3}]
> [{cost: 84, cost_one: 2, cost_two: 4}]
> [{cost: 84, cost_one: 2, cost_two: 4}]
> [{cost: 84, cost_one: 2, cost_two: 5}]
> [{cost: 84, cost_one: 1, cost_two: 3}]
> [{cost: 84, cost_one: 4, cost_two: 4}]
> [{cost: 84, cost_one: 3, cost_two: 5}]
> [{cost: 84, cost_one: 4, cost_two: 4}]
> [{cost: 84, cost_one: 2, cost_two: 3}]
> [{cost: 82, cost_one: 4, cost_two: 2}]
> [{cost: 82, cost_one: 2, cost_two: 4}]
> [{cost: 82, cost_one: 1, cost_two: 2}]
> [{cost: 82, cost_one: 2, cost_two: 4}]
> [{cost: 82, cost_one: 3, cost_two: 3}]
> [{cost: 82, cost_one: 3, cost_two: 4}]
> [{cost: 82, cost_one: 3, cost_two: 3}]
> [{cost: 82, cost_one: 3, cost_two: 5}]
> [{cost: 82, cost_one: 2, cost_two: 3}]
> [{cost: 82, cost_one: 1, cost_two: 4}]
> [{cost: 82, cost_one: 3, cost_two: 4}]
> [{cost: 82, cost_one: 3, cost_two: 6}]
> [{cost: 80, cost_one: 3, cost_two: 1}]
> [{cost: 80, cost_one: 2, cost_two: 2}]
> [{cost: 79, cost_one: 2, cost_two: 1}]
> [{cost: 79, cost_one: 2, cost_two: 4}]
> [{cost: 79, cost_one: 2, cost_two: 3}]
> [{cost: 79, cost_one: 3, cost_two: 4}]
> [{cost: 79, cost_one: 3, cost_two: 5}]
> [{cost: 79, cost_one: 2, cost_two: 3}]
> [{cost: 79, cost_one: 3, cost_two: 3}]
> [{cost: 79, cost_one: 1, cost_two: 4}]
> [{cost: 79, cost_one: 2, cost_two: 5}]
> [{cost: 79, cost_one: 2, cost_two: 7}]
> [{cost: 79, cost_one: 3, cost_two: 5}]
> [{cost: 79, cost_one: 1, cost_two: 2}]
> [{cost: 79, cost_one: 2, cost_two: 4}]
> [{cost: 79, cost_one: 3, cost_two: 6}]
> [{cost: 79, cost_one: 1, cost_two: 3}]
> [{cost: 79, cost_one: 2, cost_two: 3}]
> [{cost: 79, cost_one: 3, cost_two: 5}]
> [{cost: 79, cost_one: 3, cost_two: 3}]
> [{cost: 79, cost_one: 2, cost_two: 4}]
> [{cost: 79, cost_one: 4, cost_two: 4}]
> [{cost: 79, cost_one: 2, cost_two: 2}]
